SerialNo,PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,TotalVotesReceived,EStatus,Rank
2440,0,3,मैया सार्की,महिला,46,नेपाली काँग्रेस,रामेछाप,सुनापती गाउँपालिका,1,दलित महिला सदस्य,652,,2
2441,2,3,रीता कामी (धमला),महिला,32,नेपाल कम्युनिष्ट पार्टी (माओवादी केन्द्र),रामेछाप,सुनापती गाउँपालिका,1,दलित महिला सदस्य,1039,E,1
2442,1,3,मन्जु धमला,महिला,38,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी-लेनिनवादी),रामेछाप,सुनापती गाउँपालिका,1,दलित महिला सदस्य,181,,3
2443,2,3,कुमारी कामी,महिला,48,नेपाल कम्युनिष्ट पार्टी (माओवादी केन्द्र),रामेछाप,सुनापती गाउँपालिका,2,दलित महिला सदस्य,956,E,1
2444,0,3,झालि दमाई,महिला,41,नेपाली काँग्रेस,रामेछाप,सुनापती गाउँपालिका,2,दलित महिला सदस्य,663,,2
2445,0,3,साइली कामी,महिला,59,नेपाली काँग्रेस,रामेछाप,सुनापती गाउँपालिका,3,दलित महिला सदस्य,620,,2
2446,2,3,सुन्तली वि .क.,महिला,35,नेपाल कम्युनिष्ट पार्टी (माओवादी केन्द्र),रामेछाप,सुनापती गाउँपालिका,3,दलित महिला सदस्य,657,E,1
2447,1,3,सरिता खाती,महिला,23,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी-लेनिनवादी),रामेछाप,सुनापती गाउँपालिका,3,दलित महिला सदस्य,338,,3
2448,2,3,प्याउली सर्किनी,महिला,49,नेपाल कम्युनिष्ट पार्टी (माओवादी केन्द्र),रामेछाप,सुनापती गाउँपालिका,4,दलित महिला सदस्य,1326,E,1
2449,0,3,मैया विक,महिला,26,नेपाली काँग्रेस,रामेछाप,सुनापती गाउँपालिका,4,दलित महिला सदस्य,1210,,2
2450,1,3,माईली कामी,महिला,57,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी-लेनिनवादी),रामेछाप,सुनापती गाउँपालिका,4,दलित महिला सदस्य,209,,3
2451,3,3,सुन्तली वि क,महिला,37,राष्ट्रिय प्रजातन्त्र पार्टी ,रामेछाप,सुनापती गाउँपालिका,4,दलित महिला सदस्य,84,,4
2452,2,3,सुनिता रोका,महिला,29,नेपाल कम्युनिष्ट पार्टी (माओवादी केन्द्र),रामेछाप,सुनापती गाउँपालिका,5,दलित महिला सदस्य,860,E,1
2453,0,3,रमिला तोलाङगे,महिला,23,नेपाली काँग्रेस,रामेछाप,सुनापती गाउँपालिका,5,दलित महिला सदस्य,590,,2
2454,1,3,विष्णु माया विश्‍वकर्मा,महिला,46,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी-लेनिनवादी),रामेछाप,सुनापती गाउँपालिका,5,दलित महिला सदस्य,438,,3
